Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
1867,RIVER     SUTLEJ     BEFORE CONF.   WITH  RIVER  SPITI AT KHAB,HIMACHAL PRADESH,7.0,14.0,8.9,9.4,8.02,8.42,288.0,467.0,2.6251969852689276,5.892971727105102,0.32,0.61,6.0,20.0,8.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
2611,"RIVER       SUTLEJ       AFTER CONF.   WITH   RIVER   SPIT
AT KHAB",HIMACHAL PRADESH,7.0,13.0,9.0,9.5,8.05,8.56,255.0,471.0,2.6251969852689276,5.892971727105102,0.32,0.65,4.0,24.0,110.0,1600.0,2022,2,Moderate,Neutral (6.5–8.5)
3872,RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,6.5,13.0,8.8,9.4,8.1,8.56,290.0,2137.0,2.6251969852689276,5.892971727105102,0.32,0.59,2.0,17.0,110.0,1600.0,2022,2,Moderate,Neutral (6.5–8.5)
4448,"RIVER     SUTLEJ     BEFORE
CONFLUENCES            WITH RIVER TIDONG",HIMACHAL PRADESH,6.0,13.0,8.9,9.4,8.06,8.52,278.0,3392.0,2.6251969852689276,5.892971727105102,0.32,0.62,4.0,38.0,2.0,350.0,2022,2,Moderate,Neutral (6.5–8.5)
4449,RIVER       SUTLEJ       AFTER CONFLUENCES            WITH RIVER TIDONG,HIMACHAL PRADESH,6.5,13.0,8.8,9.4,8.06,8.56,291.0,3970.0,2.6251969852689276,5.892971727105102,0.32,0.58,2.0,170.0,2.0,1600.0,2022,2,Moderate,Neutral (6.5–8.5)
4452,RIVER     SUTLEJ     BEFORE CONFLUENCES   OF   RIVER BASPA,HIMACHAL PRADESH,6.0,13.0,8.7,9.6,8.08,8.53,292.0,2514.0,2.6251969852689276,5.892971727105102,0.32,0.65,2.0,33.0,7.0,1600.0,2022,2,Moderate,Neutral (6.5–8.5)
3871,RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,6.0,13.0,8.8,9.3,8.07,8.47,293.0,3157.0,2.6251969852689276,5.892971727105102,0.32,0.6,2.0,22.0,5.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
3870,RIVER       SUTLEJ       AFTER CONF. OF RIVER BASPA AT KARCHAM DAM,HIMACHAL PRADESH,7.0,13.0,8.8,9.2,7.86,8.49,260.0,2441.0,2.6251969852689276,5.892971727105102,0.7343646138807429,0.61,2.0,26.0,4.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
1389,RIVER           SUTLEJ           AT WANGTOO BRIDGE,HIMACHAL PRADESH,7.0,13.0,8.7,9.3,6.74,8.54,83.0,2718.0,2.6251969852689276,5.892971727105102,0.32,2.54,6.0,39.0,39.0,1600.0,2022,2,Moderate,Neutral (6.5–8.5)
4453,"RIVER       SUTLEJ       AFTER
CONFLUENCES   OF   RIVER BASPA",HIMACHAL PRADESH,7.0,13.0,8.8,9.3,6.7,8.46,100.0,1893.0,2.6251969852689276,5.892971727105102,0.32,1.28,2.0,21.0,6.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
